gender,category,subcategory,size,brand,min_price,max_price,rating
male,bottomware,pants,XXL,US Polo,2452,4372,3.1
unisex,topware,shirts,M,Adidas,691,2439,4.8
unisex,topware,tshirts,L,Van Heusen,2464,3179,3.8
male,topware,tshirts,S,Gucci,1089,3194,4.3
female,topware,tshirt,L,Roadster,1304,1980,4.6
unisex,bottomware,pants,S,Netplay,2071,3182,4.0
male,topware,shirts,XL,Spykar,1236,3532,3.8
unisex,bottomware,shorts,XXL,H&M,1653,3034,4.9
female,bottomware,leggings,S,Van Heusen,2302,4239,3.1
male,bottomware,shorts,L,Dennis Lingo,983,1894,4.7
unisex,bottomware,shorts,S,Louis Philippe,396,2923,3.2
unisex,bottomware,shorts,XL,Peter England,2478,3605,3.2
male,bottomware,night pants,L,H&M,615,3021,3.3
female,bottomware,leggings,S,HRX,970,3361,3.0
unisex,bottomware,shorts,S,Allen Solly,1051,2559,3.2
male,topware,tshirts,M,Roadster,1078,1907,4.8
unisex,topware,tshirts,XXL,Allen Solly,384,3057,3.1
male,topware,tshirts,L,Zara,1568,3678,4.2
unisex,topware,tshirts,XXL,Wrangler,2883,5145,3.8
female,topware,half saree,XL,Peter England,332,804,4.7
male,topware,shirts,S,US Polo,1437,2490,4.3
unisex,bottomware,pants,XL,H&M,888,2012,4.7
male,topware,shirts,M,Zara,325,2075,3.2
male,bottomware,night pants,M,Roadster,1844,3249,4.9
male,bottomware,night pants,XL,Prada,2995,3396,3.0
unisex,topware,shirts,L,Puma,1510,2992,4.3
female,bottomware,shorts,XL,Netplay,1750,4018,4.6
female,topware,half saree,M,Adidas,1639,3058,4.0
unisex,topware,shirts,XXL,Levi's,2046,4953,4.5
male,bottomware,shorts,L,Spykar,702,1368,4.1
male,bottomware,pants,XXL,Wrangler,447,843,4.5
female,bottomware,leggings,L,Gucci,2790,4881,4.9
male,bottomware,night pants,M,H&M,618,2737,4.1
male,topware,shirts,XL,HRX,1453,3677,3.9
male,topware,kurtha,S,Van Heusen,719,1217,3.2
male,topware,shirts,L,Peter England,2880,5276,5.0
male,bottomware,pants,XXL,Flying Machine,1611,3859,3.8
female,topware,shirt,L,Netplay,1264,3372,4.2
unisex,topware,shirts,S,H&M,2988,4994,3.4
female,bottomware,pants,S,Prada,219,3075,3.2
female,bottomware,night pants,XL,HRX,815,2275,4.4
unisex,topware,tshirts,S,HRX,851,1329,3.9
female,bottomware,leggings,S,Arrow,768,1428,4.8
unisex,bottomware,pants,S,Pepe Jeans,1402,3021,4.2
unisex,bottomware,shorts,M,Van Heusen,1370,3039,3.1
unisex,topware,tshirts,L,Puma,748,1328,4.3
unisex,bottomware,pants,XXL,Nike,244,987,3.4
male,bottomware,shorts,XXL,Prada,1869,4178,3.2
male,bottomware,shorts,XL,Puma,1549,3323,4.1
unisex,bottomware,pants,XXL,Zara,1948,2413,3.4
unisex,topware,shirts,L,Wrangler,1895,3728,4.8
unisex,bottomware,shorts,XXL,Dennis Lingo,2506,3064,3.5
unisex,bottomware,shorts,M,Tommy Hilfiger,2239,3564,3.1
unisex,topware,shirts,S,Puma,442,2439,3.3
unisex,topware,shirts,M,Arrow,2346,3607,3.2
unisex,bottomware,pants,L,Van Heusen,2620,5000,3.6
female,topware,half kurthi,XL,Puma,2279,3031,3.7
female,bottomware,pants,L,Netplay,1040,2921,3.6
male,topware,kurtha,XXL,Nike,1438,2417,3.0
unisex,topware,tshirts,L,Spykar,1876,2994,4.7
male,bottomware,shorts,L,Allen Solly,1934,3866,4.9
female,bottomware,leggings,S,US Polo,2060,3065,3.6
male,bottomware,night pants,L,Roadster,2620,4046,5.0
male,bottomware,shorts,XXL,Roadster,2864,5503,4.7
female,topware,kurthi,XXL,Flying Machine,2383,4036,3.8
male,topware,kurtha,L,Arrow,2138,2329,4.8
male,topware,kurtha,XXL,Nike,1645,2698,4.3
